n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
15780,-0.0023612974378799017,3.452490995625723e-05,-0.0016980718052235916,-0.0017743875322927493,5.129646342594274e-05,0.37377721641136397,0.6126448827933311,-0.05238174601990358,0.0011193864731221042,-0.004775338664591602,0.9988946941980114,-0.000699517570024054,per_feature,2019-12-31,val,high,mid
15811,-0.01663275083531575,0.0014017082305517459,-0.011476343989977048,-0.014807044987567776,0.002377868501259539,0.3482401012261928,0.5974951456283751,-0.10423536073886375,-0.030485469004804578,-0.038303723506465846,0.9989142844551882,-0.0006570935079211771,per_feature,2020-01-31,val,high,mid
15782,-0.012638993664422537,0.0006910054917893538,-0.00954953464356025,-0.009773747014580756,0.0010629352141479087,0.3160977070768136,0.5463867666307742,-0.06554417424298907,0.02846567468142349,0.009604671046246875,0.998875309388392,-0.000696731880470998,per_feature,2020-02-29,val,high,mid
15731,0.011939473035666708,0.00048374056057720605,0.006913324708713966,0.014545382787713518,0.0011159616979592446,0.34554940219179353,0.5647835614131312,0.05436866737821022,0.09507697514236088,0.08705993084495858,0.998950692628028,-0.0006223145855219722,per_feature,2020-03-31,val,high,mid
15791,0.013145109690179718,0.000792755513272736,0.007852433566333151,0.013830025372199701,0.0015417577867679055,0.38269460694397067,0.5980060934921952,0.010190369579056772,0.075276234359019,0.06428086953534479,0.9989087297201261,-0.0005732907902671261,per_feature,2020-04-30,val,high,mid
15775,0.02187778003612378,0.002067253830697169,0.00959195040125679,0.030674558270585798,0.005479239515158607,0.4005218111528854,0.6187927056697662,0.07341955887006418,0.12593776342234003,0.11548689798136637,0.9988920170809341,-0.0006325815720607414,per_feature,2020-05-31,val,high,mid
15952,0.046002148634188555,0.008795617871997785,0.03881646605987009,0.017996528656693066,0.009927141601383194,0.3992815898768389,0.6243644613616602,0.15872457975202534,0.1446833433311999,0.14489032661409212,0.9989389801319478,-0.000606822424389305,per_feature,2020-06-30,val,high,mid
16043,0.08069543968952272,0.027793241760310283,0.076190637223586,0.014299499995932363,0.028579362904761374,0.31503216666400063,0.5493352539543171,0.27580912274988323,0.14408451497167446,0.16531337060696996,0.9988293157485355,-0.0006972033972782568,per_feature,2020-07-31,val,high,mid
16127,0.072702912150512,0.02321498962290025,0.06508401523848556,0.023614983918551914,0.02540933299076753,0.3226297734647438,0.5844101622841708,0.2757482579260413,0.1762451733487179,0.19301505850331216,0.9988700697776461,-0.0006673578367834069,per_feature,2020-08-31,val,high,mid
16191,0.07539979511013133,0.024579399711448513,0.06525900649039197,0.028327516086707787,0.027604143175391838,0.35798368585106194,0.6072098494898619,0.2741775573694322,0.19757097115493372,0.21069905155767574,0.9988745772378291,-0.0007232803719890599,per_feature,2020-09-30,val,high,mid
